	SR	ro	ro_scaled	err_fit	err_temp	err_phot	err_fit_nm	err_temp_nm	err_phot_nm	mag	phot_flux	n_act	n_act_across	act_across_ap	act_spacing	t_int	t_s_lag	v_wind	GW_frq	wavelegth_ro	wavelength_wfs
12	0.855773086260293	0.13079627647058828	0.24934419561733634	0.3420380106432162	0.18187599407718275	0.07537337845766691	44.0940024965408	23.44663542458009	9.716797064849832	5	267727.66476625914	1521	39	44.00678751672499	0.14770448757545968	0.0005	0.005	15	25.86785701600485	550	810
13	0.8430329014501972	0.12352981666666668	0.23549174030526204	0.35872421310787733	0.19074874963708754	0.07537337845766691	46.245112695524014	24.590471178606094	9.716797064849832	5	267727.66476625914	1521	39	44.00678751672499	0.14770448757545968	0.0005	0.005	15	27.389495664005143	550	810
14	0.8300123461429567	0.11702824736842107	0.2230974381839325	0.3752565413637323	0.1995396838092559	0.07537337845766691	48.37638612334109	25.7237588872019	9.716797064849832	5	267727.66476625914	1521	39	44.00678751672499	0.14770448757545968	0.0005	0.005	15	28.911134312005426	550	810
15	0.8167386396326434	0.11117683500000003	0.21194256627473587	0.3916444114110689	0.2082538034770144	0.07537337845766691	50.48903664841389	26.847144015254532	9.716797064849832	5	267727.66476625914	1521	39	44.00678751672499	0.14770448757545968	0.0005	0.005	15	30.43277296000571	550	810
16	0.8032380448940282	0.10588270000000004	0.2018500631187961	0.4078962221228373	0.2168955746743107	0.07537337845766691	52.58414701568101	27.961202303780823	9.716797064849832	5	267727.66476625914	1521	39	44.00678751672499	0.14770448757545968	0.0005	0.005	15	31.95441160800599	550	810
17	0.7895359104242626	0.10106985000000002	0.19267506024975986	0.424019508252697	0.22546900394652672	0.07537337845766691	54.662688571707264	29.066450258597587	9.716797064849832	5	267727.66476625914	1521	39	44.00678751672499	0.14770448757545968	0.0005	0.005	15	33.47605025600629	550	810
18	0.7756567031529851	0.09667550869565218	0.1842978837171616	0.440021064521624	0.23397770433254564	0.07537337845766691	56.72553726137116	30.163353656433078	9.716797064849832	5	267727.66476625914	1521	39	44.00678751672499	0.14770448757545968	0.0005	0.005	15	34.99768890400657	550	810
19	0.7616240345521629	0.09264736250000002	0.17661880522894657	0.45590704726948583	0.24242494941716924	0.07537337845766691	58.773486732328934	31.252334513121596	9.716797064849832	5	267727.66476625914	1521	39	44.00678751672499	0.14770448757545968	0.0005	0.005	15	36.51932755200685	550	810
20	0.7474606815784034	0.08894146800000002	0.1695540530197887	0.4716830584934695	0.2508137180178842	0.07537337845766691	60.807259168870814	32.33377684442047	9.716797064849832	5	267727.66476625914	1521	39	44.00678751672499	0.14770448757545968	0.0005	0.005	15	38.040966200007134	550	810
21	0.733188603710608	0.08552064230769232	0.16303274328825837	0.48735421590742495	0.2591467314383612	0.07537337845766691	62.827514323656615	33.408031468563685	9.716797064849832	5	267727.66476625914	1521	39	44.00678751672499	0.14770448757545968	0.0005	0.005	15	39.562604848007425	550	810
22	0.7188289570676493	0.08235321111111114	0.15699449353684142	0.5029252117954331	0.2674264847633719	0.07537337845766691	64.83485710485307	34.47542004066186	9.716797064849832	5	267727.66476625914	1521	39	44.00678751672499	0.14770448757545968	0.0005	0.005	15	41.0842434960077	550	810
23	0.7044021063788244	0.07941202500000002	0.15138754733909707	0.5184003628003708	0.27565527333346285	0.07537337845766691	66.82984399465185	35.53623846569819	9.716797064849832	5	267727.66476625914	1521	39	44.00678751672499	0.14770448757545968	0.0005	0.005	15	42.60588214400799	550	810
